Position,Precinct,BallotsCast,RegisteredVoters,TotalVotes,Candidate1Name,Candidate1Votes,Candidate1Percentage,Candidate2Name,Candidate2Votes,Candidate2Percentage,WriteInVotes,OverVotes,UnderVotes
"Position 1",356,201,1162,193,"Sidney S Thompson",77,39.90,"Yessica Hardin-Mercado",113,58.55,3,0,8
"Position 1",369,0,0,0,"Sidney S Thompson",0,0.00,"Yessica Hardin-Mercado",0,0.00,0,0,0
"Position 1",370,575,2596,551,"Sidney S Thompson",157,28.49,"Yessica Hardin-Mercado",393,71.32,1,0,24
"Position 1",373,78,405,77,"Sidney S Thompson",33,42.86,"Yessica Hardin-Mercado",44,57.14,0,0,1
"Position 1",374,3,8,3,"Sidney S Thompson",2,66.67,"Yessica Hardin-Mercado",1,33.33,0,0,0
"Position 1",382,465,3736,455,"Sidney S Thompson",190,41.76,"Yessica Hardin-Mercado",263,57.80,2,0,10
"Position 1",422,4,15,4,"Sidney S Thompson",4,100.00,"Yessica Hardin-Mercado",0,0.00,0,0,0
"Position 1",426,101,527,93,"Sidney S Thompson",55,59.14,"Yessica Hardin-Mercado",38,40.86,0,0,8
"Position 1",430,561,2361,538,"Sidney S Thompson",263,48.88,"Yessica Hardin-Mercado",272,50.56,3,0,23
"Position 1",431,56,259,53,"Sidney S Thompson",30,56.60,"Yessica Hardin-Mercado",23,43.40,0,0,3
"Position 1",439,36,80,33,"Sidney S Thompson",24,72.73,"Yessica Hardin-Mercado",9,27.27,0,0,3
"Position 1",440,305,2093,302,"Sidney S Thompson",100,33.11,"Yessica Hardin-Mercado",202,66.89,0,0,3
"Position 1",446,6,37,6,"Sidney S Thompson",2,33.33,"Yessica Hardin-Mercado",4,66.67,0,0,0
"Position 1",450,31,76,25,"Sidney S Thompson",16,64.00,"Yessica Hardin-Mercado",9,36.00,0,0,6
"Position 1",451,229,1431,221,"Sidney S Thompson",71,32.13,"Yessica Hardin-Mercado",148,66.97,2,0,8
"Position 2",303,96,440,87,"Mark Watson",48,55.17,"Maureen Barnhart",39,44.83,0,0,9
"Position 2",304,220,1428,207,"Mark Watson",95,45.89,"Maureen Barnhart",110,53.14,2,0,13
"Position 2",307,1165,6321,1119,"Mark Watson",609,54.42,"Maureen Barnhart",485,44.24,15,0,46
"Position 2",308,43,149,38,"Mark Watson",25,65.79,"Maureen Barnhart",12,31.58,1,0,5
"Position 2",309,1122,5849,1091,"Mark Watson",706,64.71,"Maureen Barnhart",373,34.19,12,0,31
"Position 2",310,23,146,21,"Mark Watson",8,38.10,"Maureen Barnhart",13,61.90,0,0,2
"Position 2",313,2,3,2,"Mark Watson",2,100.00,"Maureen Barnhart",0,0.00,0,0,0
"Position 2",314,89,385,84,"Mark Watson",39,46.43,"Maureen Barnhart",45,53.57,0,0,5
